threshold_value,acc,recall,precision,f1_micro,f1_macro
0.0,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.01,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.02,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.03,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.04,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.05,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.06,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.07,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.08,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.09,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.1,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.11,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.12,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.13,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.14,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.15,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.16,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.17,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.18,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.19,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.2,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.21,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.22,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.23,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.24,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.25,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.26,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.27,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.28,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.29,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.3,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.31,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.32,0.20430107526881722,1.0,0.1956521739130435,0.20430107526881722,0.17679425837320573
0.33,0.21505376344086022,1.0,0.1978021978021978,0.21505376344086022,0.19111164065292507
0.34,0.22580645161290322,1.0,0.2,0.22580645161290322,0.20512820512820512
0.35000000000000003,0.24193548387096775,1.0,0.2033898305084746,0.24193548387096775,0.2256178580919479
0.36,0.25806451612903225,1.0,0.20689655172413793,0.25806451612903225,0.2455026455026455
0.37,0.26344086021505375,1.0,0.20809248554913296,0.26344086021505375,0.25200340505474506
0.38,0.2849462365591398,1.0,0.21301775147928995,0.2849462365591398,0.2774061632831897
0.39,0.2956989247311828,1.0,0.2155688622754491,0.2956989247311828,0.2897659369807911
0.4,0.3064516129032258,1.0,0.21818181818181817,0.3064516129032258,0.30191149515579996
0.41000000000000003,0.34946236559139787,1.0,0.22929936305732485,0.34946236559139787,0.34853967059368396
0.42,0.40860215053763443,1.0,0.2465753424657534,0.40860215053763443,0.40832851359167144
0.43,0.45161290322580644,0.9444444444444444,0.2537313432835821,0.45161290322580644,0.44752475247524753
0.44,0.46236559139784944,0.9444444444444444,0.25757575757575757,0.46236559139784944,0.4572829131652661
0.45,0.489247311827957,0.8888888888888888,0.2601626016260163,0.489247311827957,0.4782531667995394
0.46,0.532258064516129,0.8611111111111112,0.2743362831858407,0.532258064516129,0.5129864267011768
0.47000000000000003,0.5752688172043011,0.8333333333333334,0.2912621359223301,0.5752688172043011,0.5462994411337883
0.48,0.6129032258064516,0.8333333333333334,0.3125,0.6129032258064516,0.5772727272727273
0.49,0.6720430107526881,0.8055555555555556,0.3493975903614458,0.6720430107526881,0.6231441193078021
0.5,0.6989247311827957,0.7222222222222222,0.3611111111111111,0.6989247311827957,0.6346801346801346
0.51,0.7311827956989247,0.5833333333333334,0.375,0.7311827956989247,0.6389751552795031
0.52,0.7795698924731183,0.5277777777777778,0.4418604651162791,0.7795698924731183,0.6705404588067568
0.53,0.7956989247311828,0.3055555555555556,0.4583333333333333,0.7956989247311828,0.6224358974358974
0.54,0.8172043010752689,0.2777777777777778,0.5555555555555556,0.8172043010752689,0.6317260656883299
0.55,0.8064516129032258,0.1388888888888889,0.5,0.8064516129032258,0.5534809282475327
0.56,0.8172043010752689,0.1111111111111111,0.6666666666666666,0.8172043010752689,0.5437229437229437
0.5700000000000001,0.8118279569892473,0.05555555555555555,0.6666666666666666,0.8118279569892473,0.49872949872949873
0.58,0.8118279569892473,0.027777777777777776,1.0,0.8118279569892473,0.4747882210568778
0.59,0.8118279569892473,0.027777777777777776,1.0,0.8118279569892473,0.4747882210568778
0.6,0.8118279569892473,0.027777777777777776,1.0,0.8118279569892473,0.4747882210568778
0.61,0.8064516129032258,0.0,0.0,0.8064516129032258,0.44642857142857145
0.62,0.8064516129032258,0.0,0.0,0.8064516129032258,0.44642857142857145
0.63,0.8064516129032258,0.0,0.0,0.8064516129032258,0.44642857142857145
0.64,0.8064516129032258,0.0,0.0,0.8064516129032258,0.44642857142857145
0.65,0.8064516129032258,0.0,0.0,0.8064516129032258,0.44642857142857145
0.66,0.8064516129032258,0.0,0.0,0.8064516129032258,0.44642857142857145
0.67,0.8064516129032258,0.0,0.0,0.8064516129032258,0.44642857142857145
0.68,0.8064516129032258,0.0,0.0,0.8064516129032258,0.44642857142857145
0.6900000000000001,0.8064516129032258,0.0,0.0,0.8064516129032258,0.44642857142857145
0.7000000000000001,0.8064516129032258,0.0,0.0,0.8064516129032258,0.44642857142857145
0.71,0.8064516129032258,0.0,0.0,0.8064516129032258,0.44642857142857145
0.72,0.8064516129032258,0.0,0.0,0.8064516129032258,0.44642857142857145
0.73,0.8064516129032258,0.0,0.0,0.8064516129032258,0.44642857142857145
0.74,0.8064516129032258,0.0,0.0,0.8064516129032258,0.44642857142857145
